Search Term,Tweet Text,URL
michelle obama,"RT @FionaAdorno: Fierce, Intelligent, Strong, Beautiful, Loving, Funny, Educated, Dedicated, Giving, Compassionate, Courageous Michelle Oba…",
michelle obama,"Malala Yousafzai, G.D. Anderson, Maya Angelou, Michelle Obama, Audre Lorde and Hillary Clinton. Different minds, same message. #IWD",
michelle obama,"RT @PopCrave: Twitter's #SheInspiresMe thread features Malala Yousafzai, Halsey, Lady Gaga, Michelle Obama, &amp; many more strong, smart, &amp; po…",
michelle obama,"RT @FionaAdorno: Fierce, Intelligent, Strong, Beautiful, Loving, Funny, Educated, Dedicated, Giving, Compassionate, Courageous Michelle Oba…",
michelle obama,RT @TheAffinityMag: The first African American First Lady. We miss you Michelle Obama #InternationalWomensDay https://t.co/A7nU8hRQ4F,
michelle obama,"RT @BlckBolex: In a world where Beyonce, Michelle Obama, Viola Davis, Rita Moreno, Judge Sotomayor, Maxine Waters, and Ava DuVernay exist t…",
michelle obama,RT @thehill: Michelle Obama surprises female students for International Women's Day https://t.co/aqTw6e5MTW https://t.co/0vlkc74Jru,http://hill.cm/9Gwg7EW
michelle obama,RT @RollingOut: Reason no. 543672 why we love Michelle Obama— she spent #InternationalWomensDay inspiring teenage girls. https://t.co/W29fZ…,
michelle obama,"@NPR nothing about the 60 million dollar book deal Obama negotiated while he was in office. Entered broke, left rich no wonder Michelle :)",
michelle obama,@BarackObama @MichelleObama thank you!  Michelle Obama is inspirational!,
michelle obama,"@BarackObama @MichelleObama Obama and Michelle are big liars.  Obama did know US citizens being arrested by Taiwan Ma Ying Jiu,",
michelle obama,"RT @PopCrave: Twitter's #SheInspiresMe thread features Malala Yousafzai, Halsey, Lady Gaga, Michelle Obama, &amp; many more strong, smart, &amp; po…",
michelle obama,RT @thehill: Michelle Obama surprises female students for International Women's Day https://t.co/viPAKKRjei https://t.co/rz8acONR71,http://hill.cm/G1bRqj9
michelle obama,"RT @FionaAdorno: Fierce, Intelligent, Strong, Beautiful, Loving, Funny, Educated, Dedicated, Giving, Compassionate, Courageous Michelle Oba…",
michelle obama,Michelle Obama settled. #InternationalWomensDay,
michelle obama,"RT @PopCrave: Twitter's #SheInspiresMe thread features Malala Yousafzai, Halsey, Lady Gaga, Michelle Obama, &amp; many more strong, smart, &amp; po…",
michelle obama,"RT @BlckBolex: In a world where Beyonce, Michelle Obama, Viola Davis, Rita Moreno, Judge Sotomayor, Maxine Waters, and Ava DuVernay exist t…",
michelle obama,This how you do it @FLOTUS: Michelle Obama Celebrates International Women's Day with Surprise School Visit https://t.co/pTeVwwL8CE,https://www.google.com/amp/people.com/politics/michelle-obama-international-womens-day-surprise-school-visit/amp/
michelle obama,RT @pameladubsky49: Michelle Obama makes surprise visit to D.C. school because she is the real deal https://t.co/AhaY7VbwCv,http://www.dailykos.com/story/2017/3/7/1641063/-Michelle-Obama-makes-surprise-visit-to-D-C-school-because-she-is-the-real-deal
michelle obama,"RT @FionaAdorno: Fierce, Intelligent, Strong, Beautiful, Loving, Funny, Educated, Dedicated, Giving, Compassionate, Courageous Michelle Oba…",
michelle obama,RT @thehill: Michelle Obama surprises female students for International Women's Day https://t.co/viPAKKRjei https://t.co/rz8acONR71,http://hill.cm/G1bRqj9
michelle obama,"RT @MrDane1982: Be Brave like Harriet Tubman!
Be Inspirational like Michelle Obama!
Be Fierce like Maxine Waters!
Be Presidential like Hill…",
michelle obama,"RT @TheRoot: ""The measure of any society is how it treats its women and girls."" - Former First Lady Michelle Obama #InternationalWomensDay…",
michelle obama,"@DARLA_1 @VerucaSalt17 @Twitter @MichelleObama She's not a lawmaker, but just so you know https://t.co/k9vgdWmKdF",http://www.theedadvocate.org/7-education-initiatives-led-by-michelle-obama/
michelle obama,International Women's Day 2016 takes on gender parity #WomensDay #InternationalWomenSDay #InternationalWomenSDay… https://t.co/P8A7jf3TJm,https://twitter.com/i/web/status/839642948224458752
michelle obama,03-09 International Women's Day's #pledgeforparity is holding women back #InternationalWomenSDay https://t.co/Oy5b9B1hbY,http://dlvr.it/NZYxdq
michelle obama,"RT @FionaAdorno: Fierce, Intelligent, Strong, Beautiful, Loving, Funny, Educated, Dedicated, Giving, Compassionate, Courageous Michelle Oba…",
michelle obama,RT @RickeySmiley: We love you Michelle https://t.co/gRnSGBFg04,http://blog.therealrickeysmiley.com/lists/michelle-obama-surprised-amazing-young-women-at-school-in-honor-of-international-women-s-day?utm_campaign=93679&utm_medium=cmsshare&utm_source=twitter&utm_term=rickeysmiley
michelle obama,"Michelle Obama

Former First Lady, lawyer, writer, designated cool mom. https://t.co/TtuDg6OXP6",
michelle obama,"RT @TheRickyDavila: I want to thank Michelle Obama for her voice, her leadership and her inspirational courage. ❤️
#WomensHistoryMonth http…",
michelle obama,RT @ajplus: Chance the Rapper donated $1M to public schools in Chicago – and got a shoutout from Michelle Obama. https://t.co/qKzXIiaIVt,
michelle obama,".@MichelleObama Surprised a DC High School for International Women’s Day
https://t.co/he52xfPwyw",https://www.washingtonian.com/2017/03/08/michelle-obama-surprised-cardozo-ec-students-today-for-international-womens-day/
michelle obama,RT @fox5dc: Former first lady Michelle Obama surprises DC students for #InternationalWomensDay https://t.co/JKcg3Wxgaw #5at630 #fox5dc,http://www.fox5dc.com/news/local-news/240368520-story
michelle obama,"RT @nojusticenopies: FLOTUS Michelle Obama will remain a role model for young &amp; old. Brilliant, kind, warm, wise, beautiful &amp; without ego.W…",
michelle obama,"RT @cupcake1779: Strong, educated, unapologetic, and proud. Michelle Obama began inspiring me from age 10 to 18, and I'm incredibly thankfu…",
michelle obama,RT @Purify_toast17: The only reason Melania's been making First Lady appearances lately is because Michelle Obama's been popping up around…,
